id,State,match,year,Population,Violent_Crime_rate,MNMR,MNMR_rank,rape,rape_rank,robbery_rate,robbery_rate_rank,assault_rate,assault_rate_rank,property_crime_rate,property_crime_rate_rank,burglary_rate,burglary_rate_rank,larceny_theft_rate,larceny_theft_rate_rank,motor_vehicle_theft_rate,motor_vehicle_theft_rate_rank
CO,Colorado,8,1969,2100000,298.8,5.3,29,28.8,6,110.7,15,154,19,4199.4,10,1133.2,11,2559.2,9,507,12
WV,West Virginia,54,1969,1819000,97.1,5.6,28,5.1,48,19.1,43,67.3,40,1007.7,50,322.7,49,599.6,50,85.4,50
OK,Oklahoma,40,1969,2568000,185.9,5.8,27,14.3,24,49.4,34,116.5,23,2431.6,32,724.1,29,1462.7,34,244.7,34
AZ,Arizona,4,1969,1693000,339.2,6,26,23,9,99.9,17,210.2,7,4885.4,3,1302.6,8,3144.2,3,438.6,17
NM,New Mexico,35,1969,994000,289.8,6.3,25,25.1,8,65.1,28,193.4,10,4222.6,9,1230.8,10,2577.7,8,414.2,19
OH,Ohio,39,1969,10740000,248.1,6.4,24,15.3,22,126.7,11,99.8,28,2886.1,27,740.1,27,1663.9,29,482.1,14
CA,California,6,1969,19443000,462.3,7.1,23,36.3,2,201.8,6,217,6,5637.4,2,1676.1,2,3282.7,2,678.6,4
NY,New York,36,1969,18321000,577.9,7.2,22,15.8,21,353.4,2,201.4,8,3991.8,11,1356.2,5,2005.7,19,629.9,5
VA,Virginia,51,1969,4669000,266.3,7.3,21,16.4,20,81,23,161.6,16,2741.8,28,760.2,26,1690.1,26,291.4,30
DE,Delaware,11,1969,540000,294.1,8,20,13.7,28,117.6,12,154.8,18,3207.6,20,877.2,20,1859.8,22,470.6,16
